out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
rluscsaf,6h,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,c,TIER 1,
abs1000aer,3h,1,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
abs350aer,3h,1,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
abs440aer,3h,1,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
abs870aer,3h,1,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
asy1000aer,3h,1,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,area mean time: point,TIER 1,
asy350aer,3h,1,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,area mean time: point,TIER 1,
asy440aer,3h,1,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,area mean time: point,TIER 1,
asy870aer,3h,1,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,area mean time: point,TIER 1,
od1000aer,3h,1,Ambient Aerosol Optical Thickness at 1000nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
od350aer,3h,1,Ambient Aerosol Optical Thickness at 350nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
od440aer,3h,1,Ambient Aerosol Optical Thickness at 440nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
od870aer,3h,1,Ambient Aerosol Optical Thickness at 870nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
ssa1000aer,3h,1,Aerosol Single Scattering Albedo at 1000 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
ssa350aer,3h,1,Aerosol Single Scattering Albedo at 350 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
ssa440aer,3h,1,Aerosol Single Scattering Albedo at 440 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
ssa870aer,3h,1,Aerosol Single Scattering Albedo at 870 nm,single_scattering_albedo_in_air_due_to_ambient_aerosol_particles,area mean time: point,TIER 1,
cdnc,3h,m-3,,,area mean time: point,TIER 1,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
ext550aer,3h,m-1,,,area mean time: point,TIER 1,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
scat550aer,3h,m-1,,,area mean time: point,TIER 1,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
drybc,1h,kg m-2 s-1,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_particles_due_to_dry_deposition,c,TIER 1,
drydust,1h,kg m-2 s-1,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,c,TIER 1,
drynh4,1h,kg m-2 s-1,Dry Deposition Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,c,TIER 1,
dryno3,1h,kg m-2 s-1,Dry Deposition Rate of Nitrate,minus_tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,c,TIER 1,
dryoa,1h,kg m-2 s-1,Dry Deposition Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_organic_matter_dry_aerosol_particles_due_to_dry_deposition,c,TIER1,
dryso4,1h,kg m-2 s-1,Dry Deposition Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,c,TIER 1,
dryss,1h,kg m-2 s-1,Dry Deposition Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,c,TIER 1,
od550lt1aer,1h,1,Ambient Fine Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,area mean time: point,TIER 1,
od550soa,1h,1,Secondary Organic Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_secondary_organic_matter_ambient_aerosol_particles,area mean time: point,TIER 1,
sconcbc,1h,kg m-3,Surface Concentration of Black Carbon,mass_concentration_of_black_carbon_dry_aerosol_particles_in_air,area mean time: point,TIER 1,
sconcdust,1h,kg m-3,Surface Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,area mean time: point,TIER 1,
sconcnh4,1h,kg m-3,Surface Concentration of Ammonium,mass_concentration_of_ammonium_dry_aerosol_particles_in_air,area mean time: point,TIER 1,
sconcno3,1h,kg m-3,Surface Concentration of Nitrate,mass_concentration_of_nitrate_dry_aerosol_particles_in_air,area mean time: point,TIER 1,
sconcoa,1h,kg m-3,Surface Concentration of Organic Matter Aerosol,mass_concentration_of_particulate_organic_matter_dry_aerosol_particles_in_air,area mean time: point,TIER 1,
sconcso4,1h,kg m-3,Surface Concentration of Sulfate,mass_concentration_of_sulfate_dry_aerosol_particles_in_air,area mean time: point,TIER 1,
sconcsoa,1h,kg m-3,Surface Concentration of Secondary Organic Aerosol,mass_concentration_of_secondary_organic_dry_aerosol_particles_in_air,area mean time: point,TIER 1,
sconcss,1h,kg m-3,Surface Concentration of Sea-Salt Aerosol,mass_concentration_of_sea_salt_dry_aerosol_particles_in_air,area mean time: point,TIER 1,
sedbc,1h,kg m-2 s-1,Sedimentation Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_particles_due_to_sedimentation,c,TIER 1,only if sedimentation is applied for this aerosol
seddust,1h,kg m-2 s-1,Sedimentation Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_sedimentation,c,TIER 1,only if sedimentation is applied for this aerosol
sednh4,1h,kg m-2 s-1,Sedimentation Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_sedimentation,c,TIER 1,only if sedimentation is applied for this aerosol
sedno3,1h,kg m-2 s-1,Sedimentation Rate of Nitrate,minus_tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_sedimentation,c,TIER 1,only if sedimentation is applied for this aerosol
sedoa,1h,kg m-2 s-1,Sedimentation Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_organic_matter_dry_aerosol_particles_due_to_sedimentation,c,TIER 1,only if sedimentation is applied for this aerosol
sedso4,1h,kg m-2 s-1,Sedimentation Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_sedimentation,c,TIER 1,only if sedimentation is applied for this aerosol
sedss,1h,kg m-2 s-1,Sedimentation Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_sedimentation,c,TIER 1,only if sedimentation is applied for this aerosol
wetbc,1h,kg m-2 s-1,Wet Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_particles_due_to_wet_deposition,c,TIER 1,
wetdust,1h,kg m-2 s-1,Wet Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_wet_deposition,c,TIER 1,
wetnh4,1h,kg m-2 s-1,Wet Deposition Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_wet_deposition,c,TIER 1,
wetno3,1h,kg m-2 s-1,Wet Deposition Rate of Nitrate,minus_tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_wet_deposition,c,TIER 1,
wetoa,1h,kg m-2 s-1,Wet Deposition Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_organic_matter_dry_aerosol_particles_due_to_wet_deposition,c,TIER 1,
wetso4,1h,kg m-2 s-1,Wet Deposition Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_wet_deposition,c,TIER 1,
wetss,1h,kg m-2 s-1,Wet Deposition Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_wet_deposition,c,TIER 1,
abs1000bc,mon,1,,,area mean time: point,TIER 2,
abs1000dust,mon,1,,,area mean time: point,TIER 2,
abs1000nh4,mon,1,,,area mean time: point,TIER 2,
abs1000no3,mon,1,,,area mean time: point,TIER 2,
abs1000oa,mon,1,,,area mean time: point,TIER 2,
abs1000so4,mon,1,,,area mean time: point,TIER 2,
abs1000ss,mon,1,,,area mean time: point,TIER 2,
abs350bc,mon,1,,,area mean time: point,TIER 2,
abs350dust,mon,1,,,area mean time: point,TIER 2,
abs350nh4,mon,1,,,area mean time: point,TIER 2,
abs350no3,mon,1,,,area mean time: point,TIER 2,
