out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
rsusaf,day,W m-2,Surface Upwelling Aerosol-Free Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,area: time: mean,TIER1,
rsusaf,6hr,W m-2,Surface Upwelling Aerosol-Free Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,area: time: mean,TIER1,
rsuscsaf,mon,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rsuscsaf,day,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rsuscsaf,6hr,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rldsaf,mon,W m-2,Surface Downwelling Aerosol-Free Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,TIER1,
rldsaf,day,W m-2,Surface Downwelling Aerosol-Free Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,TIER1,
rldsaf,6hr,W m-2,Surface Downwelling Aerosol-Free Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,TIER1,
rldscsaf,mon,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER1,
rldscsaf,day,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER1,
rldscsaf,6hr,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER1,
rlusaf,mon,W m-2,Surface Upwelling Aerosol-Free Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,TIER1,
rlusaf,day,W m-2,Surface Upwelling Aerosol-Free Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,TIER1,
rlusaf,6hr,W m-2,Surface Upwelling Aerosol-Free Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,TIER1,
rluscsaf,mon,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
